,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
23,amruthamandadi,Syracuse University,Management Information System,Fall 2018 ,Admit,306,TOEFL,97,73%,42 months
24,viraj1331,Syracuse University,Management Information System,Fall 2018 ,Admit,317,IELTS,7,63.70%,1 month
25,Aishwarya S,Syracuse University,Management Information System,Fall 2018 ,Admit,300,TOEFL,88,8.18 CGPA ,24 months
26,priyankaguha36,Syracuse University,Management Information System,Fall 2018 ,Admit,N.A. ,TOEFL,90,82%,48 months
27,SagarMulani,Syracuse University,Management Information System,Fall 2018 ,Admit,308,TOEFL,99,65%,19 months
28,hrgupta,Syracuse University,Management Information System,Fall 2018 ,Admit,310,TOEFL,107,7.39 CGPA ,14 months
29,ParthMehta,Syracuse University,Management Information System,Fall 2018 ,Admit,314,TOEFL,106,9.15 CGPA ,NA
30,AkRel,Syracuse University,Management Information System,Fall 2018 ,Admit,302,TOEFL,101,65%,30 months
31,adi1993,Syracuse University,Management Information System,Fall 2018 ,Admit,303,TOEFL,94,7.37 CGPA ,27 months
32,KrithikaCT,Syracuse University,Management Information System,Fall 2018 ,Admit,301,TOEFL,0,80.12%,60 months
33,aditi15,Syracuse University,Management Information System,Fall 2018 ,Admit,310,TOEFL,0,79.70%,36 months
34,DrashtiShah,Syracuse University,Management Information System,Fall 2018 ,Admit,308,TOEFL,95,3.5 CGPA ,3 months
35,ArthiAbilasha,Syracuse University,Management Information System,Fall 2018 ,Admit,302,IELTS,0,7.3 CGPA ,1 month
36,Kripesh,Syracuse University,Management Information System,Fall 2018 ,Admit,304,TOEFL,96,7.87 CGPA ,12 months
37,rshetty,Syracuse University,Management Information System,Fall 2018 ,Admit,307,TOEFL,111,7.6 CGPA ,NA
38,Hemangjalali,Syracuse University,Management Information System,Fall 2018 ,Admit,307,TOEFL,94,79%,37 months
39,ishan147,Syracuse University,Management Information System,Fall 2018 ,Admit,312,TOEFL,104,8.7 CGPA ,20 months
40,kumar007,Syracuse University,Management Information System,Fall 2018 ,Admit,307,ENG TEST,NA ,65%,40 months
41,AbhinavSharma0794,Syracuse University,Management Information System,Fall 2018 ,Admit,319,TOEFL,114,6.71 CGPA ,14 months
43,arpita103,Syracuse University,Management Information System,Fall 2018 ,Reject,300,TOEFL,93,69.40%,82 months
44,Ajay94,Syracuse University,Management Information System,Fall 2018 ,Reject,302,TOEFL,86,65.37%,27 months
45,aparikh4,Syracuse University,Management Information System,Fall 2018 ,Reject,308,TOEFL,89,7.5 CGPA ,32 months
46,Setu04,Syracuse University,Management Information System,Fall 2018 ,Reject,308,TOEFL,102,7.09 CGPA ,NA
47,MAnkeerat,Syracuse University,Management Information System,Fall 2018 ,Reject,300,TOEFL,99,7.14 CGPA ,39 months
48,akshat95,Syracuse University,Management Information System,Fall 2018 ,Reject,309,TOEFL,0,7.41 CGPA ,17 months
49,Rushikesh420,Syracuse University,Management Information System,Fall 2018 ,Reject,298,TOEFL,0,57.43%,6 months
50,Pratik Kadi,Syracuse University,Management Information System,Fall 2018 ,Reject,302,TOEFL,81,56.99%,42 months
51,shub23,Syracuse University,Management Information System,Fall 2018 ,Reject,305,TOEFL,0,6.82 CGPA ,3 months
52,RuchiNiwalkar,Syracuse University,Management Information System,Fall 2018 ,Reject,302,TOEFL,97,65%,27 months
53,Snehaw,Syracuse University,Management Information System,Fall 2018 ,Reject,299,TOEFL,97,72.30%,48 months
54,Jayeshiyer,Syracuse University,Management Information System,Fall 2018 ,Reject,307,IELTS,7,54%,31 months
55,JayPatel8394,Syracuse University,Management Information System,Fall 2018 ,Reject,297,TOEFL,99,55.81%,24 months
56,@mihir,Syracuse University,Management Information System,Fall 2018 ,Reject,305,TOEFL,98,50.22%,17 months
57,HardikSoni,Syracuse University,Management Information System,Fall 2018 ,Reject,296,TOEFL,93,64.30%,64 months
58,Mansi003,Syracuse University,Management Information System,Fall 2018 ,Reject,300,TOEFL,90,7 CGPA ,12 months
59,srishti1995,Syracuse University,Management Information System,Fall 2018 ,Reject,297,TOEFL,88,81%,20 months
60,kenil,Syracuse University,Management Information System,Fall 2018 ,Reject,323,TOEFL,110,8.55 CGPA ,NA
61,Sandyyy,Syracuse University,Management Information System,Fall 2018 ,Reject,305,ENG TEST,NA ,8.5 CGPA ,6 months
62,Alloy,Syracuse University,Management Information System,Fall 2018 ,Reject,302,IELTS,7,8.22 CGPA ,8 months
64,aishwaryacraj,Syracuse University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.78 CGPA ,1 month
65,prizzy,Syracuse University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.75 CGPA ,16 months
66,prasoons075,Syracuse University,Management Information System,Spring 2019 ,Interested,304,ENG TEST,NA ,74%,24 months
67,lokesh2334,Syracuse University,Management Information System,Spring 2019 ,Interested,295,TOEFL,93,54%,41 months
68,vivekku9944,Syracuse University,Management Information System,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
69,Arpi99,Syracuse University,Management Information System,Spring 2019 ,Interested,281,IELTS,6.5,74%,60 months
70,JashKT,Syracuse University,Management Information System,Fall 2019 ,Interested,316,ENG TEST,NA ,9 CGPA ,12 months
71,rajesh020393,Syracuse University,Management Information System,Spring 2019 ,Interested,295,IELTS,6,6.7 CGPA ,24 months
72,ratnamandava,Syracuse University,Management Information System,Fall 2019 ,Interested,322,ENG TEST,NA ,6.45 CGPA ,1 month
73,SonalPDas,Syracuse University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.7 CGPA ,60 months
74,aastha1897,Syracuse University,Management Information System,Spring 2019 ,Interested,312,IELTS,7.5,7.9 CGPA ,NA
75,kiniaditya,Syracuse University,Management Information System,Fall 2019 ,Interested,305,IELTS,7,8.11 CGPA ,NA
76,priyabalaji,Syracuse University,Management Information System,Fall 2019 ,Interested, N.A. ,IELTS,7.5,7.35 CGPA ,NA
77,Venkateshsivakumar,Syracuse University,Management Information System,Spring 2019 ,Interested,296,TOEFL,81,7.37 CGPA ,43 months
78,sidd1694,Syracuse University,Management Information System,Spring 2019 ,Interested,316,IELTS,7.5,69.50%,28 months
79,kewalc,Syracuse University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
80,sisirchinferno,Syracuse University,Management Information System,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38 months
81,pranavtiwari,Syracuse University,Management Information System,Fall 2019 ,Interested,319,TOEFL,100,62.47%,12 months
82,diviraj,Syracuse University,Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2 months
83,ItzAyush,Syracuse University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.6 CGPA ,24 months
,Name,University,Year,Status,GRE,GRE_SCORE,Eng_test,Test_score,Undergrad,Undergrad_score,work_ex
1,arpita103,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,93 ,UNDERGRAD,69.4 % ,82 months
2,Ajay94,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,86 ,UNDERGRAD,65.37 % ,27 months
3,aparikh4,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,89 ,UNDERGRAD,7.5 CGPA ,32 months
4,Setu04,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,102 ,UNDERGRAD,7.09 CGPA ,NA
5,MAnkeerat,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,99 ,UNDERGRAD,7.14 CGPA ,39 months
6,akshat95,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,309 ,TOEFL,0 ,UNDERGRAD,7.41 CGPA ,17 months
7,Rushikesh420,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,298 ,TOEFL,0 ,UNDERGRAD,57.43 % ,6 months
8,Pratik Kadi,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,81 ,UNDERGRAD,56.99 % ,42 months
9,shub23,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,0 ,UNDERGRAD,6.82 CGPA ,3 months
10,RuchiNiwalkar,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,97 ,UNDERGRAD,65 % ,27 months
11,Snehaw,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,299 ,TOEFL,97 ,UNDERGRAD,72.3 % ,48 months
12,Jayeshiyer,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,307 ,IELTS,7 ,UNDERGRAD,54 % ,31 months
13,JayPatel8394,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,99 ,UNDERGRAD,55.81 % ,24 months
14,@mihir,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,98 ,UNDERGRAD,50.22 % ,17 months
15,HardikSoni,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,296 ,TOEFL,93 ,UNDERGRAD,64.3 % ,64 months
16,Mansi003,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,90 ,UNDERGRAD,7 CGPA ,12 months
17,srishti1995,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,88 ,UNDERGRAD,81 % ,20 months
18,kenil,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,323 ,TOEFL,110 ,UNDERGRAD,8.55 CGPA ,NA
19,Sandyyy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,ENG TEST,NA ,UNDERGRAD,8.5 CGPA ,6 months
20,Alloy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,IELTS,7 ,UNDERGRAD,8.22 CGPA ,8 months
22,arpita103,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,93 ,UNDERGRAD,69.4 % ,82 months
23,Ajay94,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,86 ,UNDERGRAD,65.37 % ,27 months
24,aparikh4,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,89 ,UNDERGRAD,7.5 CGPA ,32 months
25,Setu04,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,102 ,UNDERGRAD,7.09 CGPA ,NA
26,MAnkeerat,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,99 ,UNDERGRAD,7.14 CGPA ,39 months
27,akshat95,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,309 ,TOEFL,0 ,UNDERGRAD,7.41 CGPA ,17 months
28,Rushikesh420,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,298 ,TOEFL,0 ,UNDERGRAD,57.43 % ,6 months
29,Pratik Kadi,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,81 ,UNDERGRAD,56.99 % ,42 months
30,shub23,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,0 ,UNDERGRAD,6.82 CGPA ,3 months
31,RuchiNiwalkar,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,97 ,UNDERGRAD,65 % ,27 months
32,Snehaw,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,299 ,TOEFL,97 ,UNDERGRAD,72.3 % ,48 months
33,Jayeshiyer,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,307 ,IELTS,7 ,UNDERGRAD,54 % ,31 months
34,JayPatel8394,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,99 ,UNDERGRAD,55.81 % ,24 months
35,@mihir,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,98 ,UNDERGRAD,50.22 % ,17 months
36,HardikSoni,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,296 ,TOEFL,93 ,UNDERGRAD,64.3 % ,64 months
37,Mansi003,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,90 ,UNDERGRAD,7 CGPA ,12 months
38,srishti1995,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,88 ,UNDERGRAD,81 % ,20 months
39,kenil,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,323 ,TOEFL,110 ,UNDERGRAD,8.55 CGPA ,NA
40,Sandyyy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,ENG TEST,NA ,UNDERGRAD,8.5 CGPA ,6 months
41,Alloy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,IELTS,7 ,UNDERGRAD,8.22 CGPA ,8 months
43,arpita103,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,93 ,UNDERGRAD,69.4 % ,82 months
44,Ajay94,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,86 ,UNDERGRAD,65.37 % ,27 months
45,aparikh4,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,89 ,UNDERGRAD,7.5 CGPA ,32 months
46,Setu04,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,102 ,UNDERGRAD,7.09 CGPA ,NA
47,MAnkeerat,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,99 ,UNDERGRAD,7.14 CGPA ,39 months
48,akshat95,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,309 ,TOEFL,0 ,UNDERGRAD,7.41 CGPA ,17 months
49,Rushikesh420,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,298 ,TOEFL,0 ,UNDERGRAD,57.43 % ,6 months
50,Pratik Kadi,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,81 ,UNDERGRAD,56.99 % ,42 months
51,shub23,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,0 ,UNDERGRAD,6.82 CGPA ,3 months
52,RuchiNiwalkar,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,97 ,UNDERGRAD,65 % ,27 months
53,Snehaw,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,299 ,TOEFL,97 ,UNDERGRAD,72.3 % ,48 months
54,Jayeshiyer,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,307 ,IELTS,7 ,UNDERGRAD,54 % ,31 months
55,JayPatel8394,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,99 ,UNDERGRAD,55.81 % ,24 months
56,@mihir,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,98 ,UNDERGRAD,50.22 % ,17 months
57,HardikSoni,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,296 ,TOEFL,93 ,UNDERGRAD,64.3 % ,64 months
58,Mansi003,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,90 ,UNDERGRAD,7 CGPA ,12 months
59,srishti1995,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,88 ,UNDERGRAD,81 % ,20 months
60,kenil,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,323 ,TOEFL,110 ,UNDERGRAD,8.55 CGPA ,NA
61,Sandyyy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,ENG TEST,NA ,UNDERGRAD,8.5 CGPA ,6 months
62,Alloy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,IELTS,7 ,UNDERGRAD,8.22 CGPA ,8 months
64,arpita103,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,93 ,UNDERGRAD,69.4 % ,82 months
65,Ajay94,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,86 ,UNDERGRAD,65.37 % ,27 months
66,aparikh4,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,89 ,UNDERGRAD,7.5 CGPA ,32 months
67,Setu04,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,102 ,UNDERGRAD,7.09 CGPA ,NA
68,MAnkeerat,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,99 ,UNDERGRAD,7.14 CGPA ,39 months
69,akshat95,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,309 ,TOEFL,0 ,UNDERGRAD,7.41 CGPA ,17 months
70,Rushikesh420,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,298 ,TOEFL,0 ,UNDERGRAD,57.43 % ,6 months
71,Pratik Kadi,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,81 ,UNDERGRAD,56.99 % ,42 months
72,shub23,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,0 ,UNDERGRAD,6.82 CGPA ,3 months
73,RuchiNiwalkar,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,97 ,UNDERGRAD,65 % ,27 months
74,Snehaw,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,299 ,TOEFL,97 ,UNDERGRAD,72.3 % ,48 months
75,Jayeshiyer,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,307 ,IELTS,7 ,UNDERGRAD,54 % ,31 months
76,JayPatel8394,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,99 ,UNDERGRAD,55.81 % ,24 months
77,@mihir,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,98 ,UNDERGRAD,50.22 % ,17 months
78,HardikSoni,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,296 ,TOEFL,93 ,UNDERGRAD,64.3 % ,64 months
79,Mansi003,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,90 ,UNDERGRAD,7 CGPA ,12 months
80,srishti1995,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,88 ,UNDERGRAD,81 % ,20 months
81,kenil,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,323 ,TOEFL,110 ,UNDERGRAD,8.55 CGPA ,NA
82,Sandyyy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,ENG TEST,NA ,UNDERGRAD,8.5 CGPA ,6 months
83,Alloy,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,IELTS,7 ,UNDERGRAD,8.22 CGPA ,8 months
85,arpita103,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,93 ,UNDERGRAD,69.4 % ,82 months
86,Ajay94,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,86 ,UNDERGRAD,65.37 % ,27 months
87,aparikh4,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,89 ,UNDERGRAD,7.5 CGPA ,32 months
88,Setu04,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,308 ,TOEFL,102 ,UNDERGRAD,7.09 CGPA ,NA
89,MAnkeerat,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,300 ,TOEFL,99 ,UNDERGRAD,7.14 CGPA ,39 months
90,akshat95,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,309 ,TOEFL,0 ,UNDERGRAD,7.41 CGPA ,17 months
91,Rushikesh420,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,298 ,TOEFL,0 ,UNDERGRAD,57.43 % ,6 months
92,Pratik Kadi,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,81 ,UNDERGRAD,56.99 % ,42 months
93,shub23,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,305 ,TOEFL,0 ,UNDERGRAD,6.82 CGPA ,3 months
94,RuchiNiwalkar,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,302 ,TOEFL,97 ,UNDERGRAD,65 % ,27 months
95,Snehaw,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,299 ,TOEFL,97 ,UNDERGRAD,72.3 % ,48 months
96,Jayeshiyer,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,307 ,IELTS,7 ,UNDERGRAD,54 % ,31 months
97,JayPatel8394,Syracuse University Management Information System,Fall 2018 ,Reject,GRE,297 ,TOEFL,99 ,UNDERGRAD,55.81 % ,24 months
