,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
75,hjkkjg,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,318,ENG TEST,NA ,8 CGPA ,6 months
76,lakshmipr1994,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.3 CGPA ,24 months
77,SonalPDas,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.7 CGPA ,60 months
78,priyabalaji,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,N.A. ,IELTS,7.5,7.35 CGPA ,NA
79,kratikasainferno,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Interested,306,TOEFL,102,65%,26 months
80,Sujesh,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,321,TOEFL,114,7.58 CGPA ,38 months
81,khushboo397,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,331,ENG TEST,NA ,7.54 CGPA ,NA
82,ambitasu1991,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Interested,322,ENG TEST,NA ,70%,60 months
83,JashKT,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,316,ENG TEST,NA ,9 CGPA ,12 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,GauravDharra,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,313,ENG TEST,NA ,75%,38 months
2,santyssk,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,318,TOEFL,97,8.15 CGPA ,6 months
3,Asmita10,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,312,TOEFL,110,7.62 CGPA ,2 months
4,Varuntan,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,308,TOEFL,98,65%,25 months
5,SukritG,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,313,TOEFL,111,8.5 CGPA ,31 months
6,Pankajnarcisst,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,321,TOEFL,104,71%,76 months
7,ronakz,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,325,TOEFL,108,7.32 CGPA ,6 months
8,prateekleo28,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,328,TOEFL,112,75%,30 months
9,Js1994,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,316,TOEFL,102,7.99 CGPA ,13 months
10,tarunnan,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,322,TOEFL,105,67%,68 months
11,saura,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,310,TOEFL,103,8.1 CGPA ,1 month
12,shettyprithvi,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,323,TOEFL,99,7.24 CGPA ,2 months
13,blusterfind,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,319,TOEFL,100,71%,54 months
14,rushabhmeht,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,314,TOEFL,104,58%,53 months
15,Anmol1,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,311,TOEFL,104,8.6 CGPA ,2 months
16,Sumit26bansal,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,321,TOEFL,106,7.79 CGPA ,20 months
17,Star21,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,332,TOEFL,112,8.6 CGPA ,15 months
18,NarenSham,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,317,TOEFL,105,6.33 CGPA ,57 months
19,SharathchandraBM,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,308,TOEFL,100,9.1 CGPA ,21 months
20,rajivgg,Carnegie Mellon University,Information Systems,Fall 2016 ,Applied,311,TOEFL,113,58.05%,36 months
22,manishsombansh ,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,316,TOEFL,102,7.58 CGPA ,42 months
23,anandaltekar,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,320,TOEFL,107,69%,60 months
24,abhimalik96,Carnegie Mellon University,Information Systems,Fall 2020 ,Admit,316,TOEFL,116,8.19 CGPA ,3 months
25,Sonali2810,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,322,TOEFL,110,79.04%,27 months
26,suhailbarot,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,334,TOEFL,117,8.21 CGPA ,NA
27,DC,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,324,TOEFL,109,7.4 CGPA ,21 months
